NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
6,Município,,,..,1100015,Alta Floresta D'Oeste - RO,142,Quantidade produzida na silvicultura,2000,2000,0,Total
6,Município,40.0,Mil Reais,...,1100015,Alta Floresta D'Oeste - RO,143,Valor da produção na silvicultura,2000,2000,0,Total
6,Município,2.0,Percentual,...,1100015,Alta Floresta D'Oeste - RO,1000143,Valor da produção na silvicultura - percentual do total geral,2000,2000,0,Total
6,Município,,,..,1100023,Ariquemes - RO,142,Quantidade produzida na silvicultura,2000,2000,0,Total
6,Município,40.0,Mil Reais,...,1100023,Ariquemes - RO,143,Valor da produção na silvicultura,2000,2000,0,Total
6,Município,2.0,Percentual,...,1100023,Ariquemes - RO,1000143,Valor da produção na silvicultura - percentual do total geral,2000,2000,0,Total
6,Município,,,..,1100031,Cabixi - RO,142,Quantidade produzida na silvicultura,2000,2000,0,Total
6,Município,40.0,Mil Reais,...,1100031,Cabixi - RO,143,Valor da produção na silvicultura,2000,2000,0,Total
6,Município,2.0,Percentual,...,1100031,Cabixi - RO,1000143,Valor da produção na silvicultura - percentual do total geral,2000,2000,0,Total
6,Município,,,..,1100049,Cacoal - RO,142,Quantidade produzida na silvicultura,2000,2000,0,Total
6,Município,40.0,Mil Reais,...,1100049,Cacoal - RO,143,Valor da produção na silvicultura,2000,2000,0,Total
6,Município,2.0,Percentual,...,1100049,Cacoal - RO,1000143,Valor da produção na silvicultura - percentual do total geral,2000,2000,0,Total
6,Município,,,..,1100056,Cerejeiras - RO,142,Quantidade produzida na silvicultura,2000,2000,0,Total
6,Município,40.0,Mil Reais,...,1100056,Cerejeiras - RO,143,Valor da produção na silvicultura,2000,2000,0,Total
6,Município,2.0,Percentual,...,1100056,Cerejeiras - RO,1000143,Valor da produção na silvicultura - percentual do total geral,2000,2000,0,Total
6,Município,,,..,1100064,Colorado do Oeste - RO,142,Quantidade produzida na silvicultura,2000,2000,0,Total
6,Município,40.0,Mil Reais,...,1100064,Colorado do Oeste - RO,143,Valor da produção na silvicultura,2000,2000,0,Total
6,Município,2.0,Percentual,...,1100064,Colorado do Oeste - RO,1000143,Valor da produção na silvicultura - percentual do total geral,2000,2000,0,Total
6,Município,,,..,1100072,Corumbiara - RO,142,Quantidade produzida na silvicultura,2000,2000,0,Total
6,Município,40.0,Mil Reais,...,1100072,Corumbiara - RO,143,Valor da produção na silvicultura,2000,2000,0,Total
6,Município,2.0,Percentual,...,1100072,Corumbiara - RO,1000143,Valor da produção na silvicultura - percentual do total geral,2000,2000,0,Total
6,Município,,,..,1100080,Costa Marques - RO,142,Quantidade produzida na silvicultura,2000,2000,0,Total
6,Município,40.0,Mil Reais,...,1100080,Costa Marques - RO,143,Valor da produção na silvicultura,2000,2000,0,Total
6,Município,2.0,Percentual,...,1100080,Costa Marques - RO,1000143,Valor da produção na silvicultura - percentual do total geral,2000,2000,0,Total
6,Município,,,..,1100098,Espigão D'Oeste - RO,142,Quantidade produzida na silvicultura,2000,2000,0,Total
6,Município,40.0,Mil Reais,...,1100098,Espigão D'Oeste - RO,143,Valor da produção na silvicultura,2000,2000,0,Total
6,Município,2.0,Percentual,...,1100098,Espigão D'Oeste - RO,1000143,Valor da produção na silvicultura - percentual do total geral,2000,2000,0,Total
6,Município,,,..,1100106,Guajará-Mirim - RO,142,Quantidade produzida na silvicultura,2000,2000,0,Total
6,Município,40.0,Mil Reais,...,1100106,Guajará-Mirim - RO,143,Valor da produção na silvicultura,2000,2000,0,Total
6,Município,2.0,Percentual,...,1100106,Guajará-Mirim - RO,1000143,Valor da produção na silvicultura - percentual do total geral,2000,2000,0,Total
